Title,Artists,Album,Album Release Date
Scatman (Ski-Ba-Bop-Ba-Dop-Bop) - Basic Radio,['Scatman John'],Fetenkult - Best Of The 90's,2005-02-14
We like to Party! (The Vengabus),['Vengaboys'],Greatest Hits!,2009-12-11
Call On Me - Radio Edit,['Eric Prydz'],Call On Me,2004-09-13
Romeo Ja Julia - Original Mix,['Movetron'],Romeo ja Julia,2007-01-01
Nyt on jatkot,"['Movetron', 'Poju']",Nyt on jatkot,2016-04-27
Ei kenenkään maa - Original Mix,['Movetron'],Ei kenenkään maa,2008-01-01
Älä unohda minua...,['Movetron'],Jatkot,2016-05-31
Yksin Sateeseen,['Hausmylly'],Sateesta Aurinkoon,2005-01-01
Ikävä lokakuu,['Hausmylly'],Tahdonvoimaa,1995-09-18
Roses Are Red - Original Version,['Aqua'],Aquarium,1997-01-01
Glamorous,"['Fergie', 'Ludacris']",The Dutchess Deluxe,2007-01-01
Lonely,['Akon'],Trouble Deluxe Edition,2005-01-01
Shala-la-la,['Pikku G'],Räjähdysvaara,2003-05-23
Macarena,['Los Del Rio'],50 Summer Hits,2009-06-11
Run It! (feat. Juelz Santana),"['Chris Brown', 'Juelz Santana']",Chris Brown (Expanded Edition),2005
Like Toy Soldiers,['Eminem'],Encore,2004-11-12
All About Us,['t.A.T.u.'],Dangerous and Moving (International Version),2005-01-01
Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),"['C & C Music Factory', 'Freedom Williams']",Playlist: The Very Best Of C & C Music Factory,2009-04-09
Don't You Know,"['Pandora', 'M-Fuse', 'St James']",The Best Of Pandora,2007-10-19
U Can't Touch This,['MC Hammer'],Please Hammer Don't Hurt 'Em,1990-02-20
Erittäin hyvä (ellei täydellinen),['Mascara'],We Love the 90's,2015-08-21
Fire,['Scooter'],Fire,1997-03-27
Ecuador (feat. Rodriguez) - Original Extended,"['Sash!', 'Rodríguez']",It's My Life (The Remix Edition),2012-06-08
Tinakenkätyttö,['Kaija Koo'],Tinakenkätyttö,1999-01-01
Summer Is Crazy,['Alexia'],Summer Is Crazy,1996-05-01
Kyyneleet,['Tiktak'],Sinkut 99-07 (Erikoispainos),2007-01-01
Leikit vain,['Tiktak'],Jotain muuta...ja jotain uutta!,2002-01-01
Paha sana,['Tiktak'],Sinkut 99-07 (Erikoispainos),2007-01-01
Lopeta - Original Mix,['Tiktak'],Sinkut 99-07,2007-01-01
Heilutaan,['Tiktak'],Sinkut 99-07,2007-01-01
Lähdetään tänään,['Tiktak'],Sinkut 99-07,2007-01-01
Minne Vaan,['Tiktak'],Sinkut 99-07 (Erikoispainos),2007-01-01
Sankaritar,['Tiktak'],Sinkut 99-07,2007-01-01
Häiritsen sinua,['Tiktak'],Sinkut 99-07 (Erikoispainos),2007-01-01
Lentoon,['Tiktak'],Jotain muuta...ja jotain uutta!,2002-01-01
Tuuleksi taivaanrantaan,['Tiktak'],Sinkut 99-07,2007-01-01
Totuutta ja tehtävää,['Maija Vilkkumaa'],TOP 10,2016-05-13
Kusipää,['Maija Vilkkumaa'],Ei,2003-03-03
Kesä,['Maija Vilkkumaa'],Se ei olekaan niin,2005-03-30
Oo siellä jossain mun,['PMMP'],Hitit,2013-11-29
Joku raja - Radio edit,['PMMP'],Hitit,2013-11-29
Kesäkaverit,['PMMP'],Leskiäidin Tyttäret,2007-12-14
A Thousand Miles - Single Version,['Vanessa Carlton'],A Thousand Miles (Enhanced),2002-01-01
Yeah!,"['USHER', 'Lil Jon', 'Ludacris']",Yeah!,2004-02-09
No One,['Alicia Keys'],As I Am,2007-11-09
Survivor,"[""Destiny's Child""]",Survivor,2001-05-01
Love The Way You Lie,"['Eminem', 'Rihanna']",Recovery,2010-06-18
Lollipop,"['Lil Wayne', 'Static Major']",Tha Carter III,2008-06-10
Call Me When You're Sober,['Evanescence'],The Open Door,2006-09-29
Who Knew - Edit,['P!nk'],Greatest Hits...So Far!!!,2010-11-12
In the Shadows,['The Rasmus'],Dead Letters,2003-03-24
First Day of My Life,['The Rasmus'],Dead Letters,2003-03-24
Livin' in a World Without You,['The Rasmus'],Black Roses,2008-09-22
Welcome To The City,['Amy Diamond'],Greatest Hits,2010-11-01
I Know You Want Me (Calle Ocho),['Pitbull'],Pitbull Starring In Rebelution,2009-10-23
The Ketchup Song (Asereje) - Spanish Version,['Las Ketchup'],Hijas Del Tomate,2002-07-30
Wake Me up When September Ends,['Green Day'],American Idiot,2004-09-21
Gasolina,['Daddy Yankee'],Total Reggaeton,2005-01-01
Paranoid (13),['Pyhimys'],Paranoid,2011-01-31
Nyt,['Pyhimys'],Medium,2011-05-23
0,['Pyhimys'],Medium,2011-05-23
Silent Shadows - Mind Vortex Remix,"['Don Diablo', 'Mind Vortex']",Silent Shadows,2012-04-27
Onxnenäälasit?,['Petri Nygård'],Mun Mielestä,2012-04-16
More Than Friends (feat. Daddy Yankee),"['INNA', 'Daddy Yankee']",Party Never Ends,2013-05-31
That's My Jam,['Shelco Garcia & Teenwolf'],That's My Jam,2014-07-01
Virus (How About Now),"['Martin Garrix', 'MOTi']",Virus (How About Now),2015-02-13
Propaganda,['DJ Snake'],Propaganda,2016-02-19
All I Do Is Fuckin Party - Original Mix,['Halestone'],All I Do Is Fuckin Party,2016-10-07
Louder - Original Edit,"['D-Block & S-te-Fan', 'Rebourne']",Louder,2015-02-23
Better Off,['Hendersin'],Better Off,2016-08-22
Only God Can Judge Me,['2Pac'],All Eyez On Me,1996-02-13
Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",Bootlegs And B-Sides,1994-11-22
Make It a better day,"['DJ DX', '2Pac']",Make It a better day,2015-05-01
Deadheads,['XS Project'],Deadheads,2016-11-29
Mist sä tuutPt. 2,['JVG'],Mist sä tuut EP,2016-12-16
Univerze - Radio Edit,"['Rebourne', 'Wasted Penguinz']",Univerze,2015-10-20
Rock The Party,"['Jauz', 'Ephwurd']",Rock The Party,2015-07-31
Mine - Getter Remix,"['Kill The Noise', 'Bryn Christopher', 'Getter']",ALT CLASSIC,2016-05-13
God Complex - Edit,"['Brennan Heart', 'Zatox']",God Complex,2016-02-03
Bohemian Rhapsody - Remastered 2011,['Queen'],A Night At The Opera (2011 Remaster),1975-11-21
Good Life,"['Kanye West', 'T-Pain']",Graduation (UK Version),2007-09-11
Nautin elämästä,['Marilii'],Siivilläin lennän,2016-09-15
Round Here,['mgk'],General Admission,2015-10-16
Eddie Cane,['mgk'],General Admission,2015-10-16
Mul Oli Ikävä Mua,['Juulia'],Mul Oli Ikävä Mua,2017-06-09
Cold Blood (feat. Jeffrey James),"['Tungevaag', 'Raaban', 'Jeffrey James']",Cold Blood (feat. Jeffrey James),2017-06-09
Two High,['Moon Taxi'],Two High,2017-05-05
High Without Your Love,['Loote'],High Without Your Love,2017-05-05
If You Love Me (feat. Tunji Ige),"['Julie Bergan', 'Tunji Ige']",If You Love Me (feat. Tunji Ige),2017-06-09
Just Fiction,['Arrhult'],Just Fiction,2017-06-09
Can I Have This Dance,"['High School Musical Cast', 'Vanessa Hudgens', 'Zac Efron', 'Disney']",High School Musical - The Collection,2009-01-01
"Right Here, Right Now","['High School Musical Cast', 'Vanessa Hudgens', 'Zac Efron', 'Disney']",High School Musical - The Collection,2009-01-01
Suru on kunniavieras,['Jenni Vartiainen'],Iskelmägaala 2015,2015-02-20
Meillä on aikaa,['Juha Tapio'],Iskelmägaala 2015,2015-02-20
Sinä ansaitset kultaa,['Jari Sillanpää'],Iskelmägaala 2015,2015-02-20
You Are the Music in Me,"['Troy', 'Gabriella', 'Disney']",High School Musical 2 Original Soundtrack,2007-01-01
Sweet Home Alabama,"['The Outlaws', 'Hughie Thomasson']",Good Morning Vietnam - Words & Music Of The '60s,2008-01-01
Sano se mulle,['Elias Kaskinen & Päivän Sankarit'],Iskelmägaala 2015,2015-02-20
Halla ja etelätuuli,['Antti Railio'],Iskelmägaala 2015,2015-02-20
Beibi,['Haloo Helsinki!'],Iskelmägaala 2015,2015-02-20
Siideripissis,['Jukka Poika'],Yhdestä puusta,2012-03-12
Kylmästä lämpimään,['Jukka Poika'],Kylmästä lämpimään,2010-06-02
Mielihyvää,['Jukka Poika'],Kokoelma,2013-09-17
Älä tyri nyt,['Jukka Poika'],Yhdestä puusta,2012-03-12
Mitä silmät ei nää,['Jukka Poika'],Vain elämää,2015-01-30
Jäätelökesä,['Jukka Poika'],Vain elämää,2015-01-30
Lupaan olla,['Nopsajalka'],Iskelmägaala 2015,2015-02-20
Onni on,['Diandra'],Iskelmägaala 2015,2015-02-20
Sä et ole hullu,['JANNA'],Sä et ole hullu,2013-01-01
Anna Mä Puhallan,['JANNA'],Anna Mä Puhallan,2016-10-12
"Let It Go - From ""Frozen"" / Single Version",['Demi Lovato'],Demi (Deluxe),2014-11-28
Mitä silmät ei nää,['Juha Tapio'],Tähtisarja - 30 Suosikkia,2011-10-05
Perutaan häät,['Anne Mattila'],Perutaan häät,2005-10-10
Ajetaan tandemilla,['Freeman'],Freeman,1995-01-01
Lempo,"['Elastinen', 'Lauri Tähkä']",Lempo,2016-03-07
Hyvää puuta,['Vesa-Matti Loiri'],Hyvää puuta,2009-09-07
Anna mulle tähtitaivas,['Katri Helena'],(MM) Sydämeni laulut - Juhlavuosi 2003,2003-09-15
Rafaelin enkeli,['Pekka Ruuska'],Suolaa ja pippuria - Pekka Ruuskan parhaat,1998-01-01
Beibi,['Haloo Helsinki!'],Kiitos ei ole kirosana,2015-02-27
Kuuma kesä,['Popeda'],"Hittejä, Kersantti Karoliina",1997-01-01
Tinakenkätyttö,['Kaija Koo'],Kaunis rietas onnellinen - Parhaat 1980 - 2011,2011-09-20
Anna soida,['Elastinen'],Anna soida,2006-02-27
Yhtäccii,"['Profeetat', 'Cheek', 'Elastinen']",Yhtäccii,2017-02-08
Sinuhe,"['Profeetat', 'Cheek', 'Elastinen']",Sinuhe,2016-11-29
Täytyy Jaksaa,"['Elastinen', 'Sami Hedberg']",Elastinen Feat.,2016-05-20
Loppuviikko,"['Elastinen', 'Uniikki', 'Timo Pieni Huijaus', 'Tasis', 'Spekti']",Joka Päivä Koko Päivä,2013-01-01
Ovet paukkuu,['Elastinen'],E.L.A.,2007-01-01
Puhu äänellä jonka kuulen,['Happoradio'],Kaunis Minä,2008-08-14
Vadelmavene,['Kasmir'],AMK Dropout,2014-01-01
Salil eka salil vika,['Musta Barbaari'],Salil eka salil vika,2013-08-23
Satulinna,['Jari Sillanpää'],Jari Sillanpää,1996
Kaikki Peliin - Originaali,['Fintelligens'],Nää Vuodet 1997 - 2003,2004-09-17
You Should Be Here,['Cole Swindell'],You Should Be Here,2016-05-06
How Does A Moment Last Forever,['Céline Dion'],Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),2017-03-10
"How Far I'll Go - From ""Moana""",['Alessia Cara'],"How Far I'll Go (From ""Moana"")",2016-10-28
Selfish (feat. Rihanna),"['Future', 'Rihanna']",HNDRXX,2017-08-04
Not Going Home,"['DVBBS', 'CMC$', 'Gia Koka']",Not Going Home,2016-11-18
September Song,['JP Cooper'],September Song,2016-09-16
Neljä Vuodenaikaa,['Petri Nygård'],Neljä Vuodenaikaa,2017-06-14
Meidän biisi,['Arttu Wiskari'],Meidän biisi,2017-06-07
Kumiankka,['Herrat'],Kumiankka,2017-05-19
Tempo,['BESS'],Tempo,2017-05-17
Sign of the Times,['Harry Styles'],Sign of the Times,2017-04-07
Meininkei,['SONNY'],Meininkei,2017-03-15
Nobody's Perfect,['Hannah Montana'],Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,2007-01-01
Nothing but a Heartbeat,['Say Lou Lou'],Lucid Dreaming (Deluxe Edition),2015-02-24
Nuori ja kaunis,"['Anna Järvinen', 'Olavi Uusivirta']",27 Suosikkia,2013-01-01
Problem,"['Ariana Grande', 'Iggy Azalea']",My Everything (Deluxe),2014-08-22
Neon Lights,['Demi Lovato'],Demi,2013-01-01
BO$$,['Fifth Harmony'],Reflection (Deluxe),2015-01-30
I Love It (feat. Charli XCX),"['Icona Pop', 'Charli XCX']",THIS IS... ICONA POP,2013-08-27
Do It Like A Dude,['Jessie J'],Who You Are (Platinum Edition),2011-01-01
Fly On The Wall,['Miley Cyrus'],Fly On The Wall,2009-01-01
Too Little Too Late,['JoJo'],"Too Little, Too Late",2006-11-10
Potential Breakup Song,['Aly & AJ'],Insomniatic,2007-01-01
Stupid Girls,['P!nk'],I'm Not Dead,2006-03-18
Miss Movin' On,['Fifth Harmony'],Miss Movin' On,2013-07-16
Umbrella,"['Rihanna', 'JAY-Z']",Good Girl Gone Bad: Reloaded,2008-06-02
Hot N Cold,['Katy Perry'],One Of The Boys,2008-06-17
Womanizer,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Fergalicious,"['Fergie', 'will.i.am']",The Dutchess (Explicit Version),2006-01-01
Primadonna,['MARINA'],Electra Heart (Deluxe),2012-04-30
Blow,['Kesha'],Animal + Cannibal (Deluxe Edition),2010-11-19
Rich Girl,"['Gwen Stefani', 'Eve']",Love Angel Music Baby,2004-11-22
This Is Me,"['Demi Lovato', 'Joe Jonas']",Camp Rock Original Soundtrack (Scandinavia Version),2008-01-01
We Are Never Ever Getting Back Together,['Taylor Swift'],Red,2012-10-22
Circus,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Take It Off,['Kesha'],Animal + Cannibal (Deluxe Edition),2010-11-19
Don't Stop The Music,['Rihanna'],Good Girl Gone Bad: Reloaded,2008-06-02
Focus,['Ariana Grande'],Focus,2015-10-30
London Bridge,['Fergie'],The Dutchess (Explicit Version),2006-01-01
Waking Up In Vegas,['Katy Perry'],One Of The Boys,2008-06-17
See You Again,['Miley Cyrus'],Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,2007-01-01
Dance Again (feat. Pitbull),"['Jennifer Lopez', 'Pitbull']",Dance Again...The Hits,2012-07-20
It Was Always You,['Maroon 5'],V (Deluxe),2015-05-18
Big Girls Don't Cry (Personal),['Fergie'],The Dutchess (Explicit Version),2006-01-01
Blah Blah Blah,"['Kesha', '3OH!3']",Blah Blah Blah,2010-02-19
My Prerogative,['Britney Spears'],Greatest Hits: My Prerogative,2004-11-08
I Knew You Were Trouble,['Taylor Swift'],Red,2012-10-22
Wish You Were Here,['Avril Lavigne'],Goodbye Lullaby (Deluxe Edition),2011-03-04
Talk Dirty (feat. 2 Chainz),"['Jason Derulo', '2 Chainz']",Tattoos (Deluxe Edition),2013-09-10
Breaking Free,"['Troy', 'Gabriella', 'Disney']",Breaking Free,2006-01-01
Crazy Kids,['Kesha'],Warrior (Deluxe Version),2012-11-30
Gotta Go My Own Way,"['Zac Efron', 'Vanessa Hudgens', 'Disney']",High School Musical 2 Original Soundtrack,2007-01-01
Never Gonna Leave This Bed,['Maroon 5'],Hands All Over (Revised International Standard version),2010
Miss Independent,['Kelly Clarkson'],Thankful,2003-09-29
You're Such A,['Hailee Steinfeld'],HAIZ,2016-02-26
We Run The Night,"['Havana Brown', 'Pitbull']",We Run The Night,2011-01-01
Leave (Get Out) - Radio Edit,['JoJo'],Leave (Get Out),2004-06-21
Me Too,['Meghan Trainor'],Thank You (Deluxe Version),2017-05-12
The Best of Both Worlds,['Hannah Montana'],Best Of Hannah Montana,2011-01-01
Made In The USA,['Demi Lovato'],Demi,2013-01-01
Can't Get You out of My Head,['Kylie Minogue'],Fever,2001-10-01
She Will Be Loved,['Maroon 5'],Songs About Jane,2002-06-25
California King Bed,['Rihanna'],Loud,2010-11-16
Hoedown Throwdown,['Miley Cyrus'],Hannah Montana The Movie,2009-01-01
Alice - Extended Version,['Avril Lavigne'],Goodbye Lullaby (Deluxe Edition),2011-03-04
Gives You Hell,['The All-American Rejects'],When The World Comes Down,2008-01-01
Love Me Harder,"['Ariana Grande', 'The Weeknd']",My Everything (Deluxe),2014-08-22
Habits (Stay High),['Tove Lo'],Queen Of The Clouds,2014-09-24
C'Mon,['Kesha'],Warrior (Deluxe Version),2012-11-30
Mr. Know It All,['Kelly Clarkson'],Stronger (Deluxe Version),2011-10-24
Get Back,['Demi Lovato'],Don't Forget,2008-01-01
Yeah 3x,['Chris Brown'],F.A.M.E. (Deluxe Version),2011-04-04
Runaway,['Maroon 5'],Hands All Over (Revised International Standard version),2010
Let's Get Crazy,['Hannah Montana'],Best Of Hannah Montana,2011-01-01
a thousand years,['Christina Perri'],The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),2011-11-04
Treasure,['Bruno Mars'],Unorthodox Jukebox,2012-12-07
Get Outta My Way,['Kylie Minogue'],Aphrodite,2010-06-30
Break the Rules,['Charli XCX'],SUCKER,2015-02-09
Beautiful Girls - Radio Edit,['Sean Kingston'],Beautiful Girls,2007-08-31
Wait A Minute,"['The Pussycat Dolls', 'Timbaland']",PCD (Revised International Version),2005-01-01
Rumour Has It,['Adele'],21,2011-01-19
Falling Down,['Selena Gomez & The Scene'],Kiss & Tell (European Version),2010-01-01
All of Me,['John Legend'],Love In The Future (Expanded Edition),2013-08-30
Ur So Gay,['Katy Perry'],One Of The Boys,2008-06-17
Me & The Rhythm,['Selena Gomez'],Revival (Deluxe),2015-10-09
Little Bad Girl (feat. Taio Cruz & Ludacris),"['David Guetta', 'Ludacris', 'Taio Cruz']",Nothing but the Beat (Ultimate Edition),2012-12-07
Don't Let Me Down,"['The Chainsmokers', 'Daya']",Don't Let Me Down,2016-02-05
Mmm Yeah (feat. Pitbull),"['Austin Mahone', 'Pitbull']",The Secret,2014-05-27
If I'm Dancing,['Britney Spears'],Glory (Deluxe Version),2016-08-26
human,['Christina Perri'],head or heart,2014-03-28
Supergirl,['Hannah Montana'],Best Of Hannah Montana,2011-01-01
Make It Shine (Victorious Theme) (feat. Victoria Justice),"['Victorious Cast', 'Victoria Justice']",Make It Shine (Victorious Theme) (feat. Victoria Justice),2010-04-13
Mean,['Taylor Swift'],Speak Now,2010-10-25
Watch Me,"['Bella Thorne', 'Zendaya', 'Cast of Shake It Up: Break It Down']",Shake It Up,2011-01-01
Anything Could Happen,['Ellie Goulding'],Halcyon,2012-01-01
Dancing On My Own,['Robyn'],Body Talk pt. 1,2010-06-11
Unwritten,['Natasha Bedingfield'],Unwritten,2004-09-06
Fabulous,"['Sharpay Evans', 'Ryan', 'Disney']",High School Musical 2 Original Soundtrack,2007-01-01
Imma Be,['Black Eyed Peas'],THE E.N.D. (THE ENERGY NEVER DIES) [International Version],2009-01-01
Stereo Love - Radio Edit,"['Edward Maya', 'Vika Jigulina']",Stereo Love,2010-02-02
I'm Out (feat. Nicki Minaj),"['Ciara', 'Nicki Minaj']",Ciara,2013-07-05
Don't Forget,['Demi Lovato'],Don't Forget,2008-01-01
Push The Button,['Sugababes'],Taller In More Ways,2005
Stay The Night - Featuring Hayley Williams Of Paramore,"['Zedd', 'Hayley Williams']",Clarity (Deluxe),2014-01-01
Sori,['Vesala'],Vain elämää,2014-11-07
Animals - Original Mix,['Martin Garrix'],Animals,2013-10-08
Who's Laughing Now,['Jessie J'],Who You Are (Platinum Edition),2011-01-01
Here We Go Again,['Demi Lovato'],Here We Go Again (European Version),2009-01-01
Feelings,['Maroon 5'],V (Deluxe),2015-05-18
Break Your Heart Right Back,"['Ariana Grande', 'Childish Gambino']",My Everything (Deluxe),2014-08-22
Entä sä (feat. Gracias),"['Gettomasa', 'Gracias']",Entä sä (feat. Gracias),2017-01-28
SLIM MILL - KESÄFLOW,['Slim Mill'],SLIM MILL - KESÄFLOW,2016-10-29
xDlsd (feat. Mahku),"['Slim Mill', 'Mahku']",xDlsd (feat. Mahku),2017-02-08
Kakkuu Järvellä,"['Pasi ja Anssi', 'Portion Boys']",Kakkuu Järvellä,2017-06-19
Juna,"['Spekti', 'Tasis']",Juna,2017-06-16
Hukas,['Skandaali'],Hukas,2017-04-26
Summer Is Crazy,['Alexia'],Disco 90's,2008-03-16
Ingalsin Laura,['Maija Vilkkumaa'],"Meikit, ketjut ja vyöt",2001
Turn Up the Music,['Chris Brown'],Fortune (Deluxe Version),2012-06-29
M.I.L.F. $,['Fergie'],M.I.L.F. $,2016-07-01
Luonasi,['Aste'],Luonasi,2017-06-16
1-800-273-8255,"['Logic', 'Alessia Cara', 'Khalid']",Everybody,2017-05-05
Fetish (feat. Gucci Mane),"['Selena Gomez', 'Gucci Mane']",Fetish (feat. Gucci Mane),2017-07-13
Maija,['Kliff'],Maija,2014-05-26
Kauneinta,['Kymppilinja'],TOP 10,2016-05-13
HUUMETUKKA,['OG Ulla-Maija'],HUUMETUKKA,2017-05-18
#Elämänpeli (feat. Touko),"['Mr. Elämänpeli', 'Touko']",#Elämänpeli (feat. Touko),2017-06-30
Se oikea,['Jenni Vartiainen'],Se oikea,2017-07-05
Kupla,"['Ida Paul & Kalle Lindroth', 'Ida Paul', 'Kalle Lindroth']",Kupla,2017-06-29
Tyynysotaa,"['Vilma Alina', 'Nelli Matula', 'SINI YASEMIN', 'Ida Paul']",Tyynysotaa,2017-05-26
We Don't Belong,"['Dash Berlin', 'Haneri']",We Don't Belong,2017-07-07
Rich Love (with Seeb),"['OneRepublic', 'Seeb']",Rich Love,2017-07-14
Mi Gente,"['J Balvin', 'Willy William']",Mi Gente,2017-06-30
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean', 'Funk Wav']",Funk Wav Bounces Vol.1,2017-06-30
In the End,['Linkin Park'],Hybrid Theory (Bonus Edition),2000
Wild Thoughts (feat. Rihanna & Bryson Tiller),"['DJ Khaled', 'Rihanna', 'Bryson Tiller']",Grateful,2017-06-22
Back to You (feat. Bebe Rexha & Digital Farm Animals),"['Louis Tomlinson', 'Bebe Rexha', 'Digital Farm Animals']",Back to You (feat. Bebe Rexha & Digital Farm Animals),2017-07-21
Instruction (feat. Demi Lovato & Stefflon Don),"['Jax Jones', 'Demi Lovato', 'Stefflon Don']",Instruction (feat. Demi Lovato & Stefflon Don),2017-06-16
Taivas ei oo rajana,['Mikko Harju'],Taivas ei oo rajana,2017-06-15
Thunder,['Imagine Dragons'],Evolve,2017-06-23
Koukkuun,['Ilta'],Koukkuun,2017-07-05
Kaija,['Kasmir'],Kaija,2017-05-24
Heavy (feat. Kiiara),"['Linkin Park', 'Kiiara']",One More Light,2017-05-19
What I've Done,['Linkin Park'],Minutes to Midnight,2007-05-11
Let's Get Ridiculous,['Redfoo'],Let's Get Ridiculous,2013-01-01
Cola Song (feat. J Balvin),"['INNA', 'J Balvin']",Cola Song (feat. J Balvin),2014-04-15
Juicy Wiggle,['Redfoo'],Party Rock Mansion,2016-03-18
Purppura,['Kube'],Purppura,2015-12-04
Duuni,"['Kube', 'Adi L Hasla', 'Mäkki']",Purppura,2015-12-04
Vesa Keskinen,"['Seksikäs-Suklaa', 'Dosdela']",Vesa Keskinen,2017-06-15
Such A Boy,['Astrid S'],Party's Over,2017-06-30
F*cked It Up,"['Rony Rex', 'LCMDF']",F*cked It Up EP,2017-06-30
Some Kind Of Drug (feat. Marc E. Bassy),"['G-Eazy', 'Marc E. Bassy']",When It's Dark Out,2015-12-04
Sä Et Oo Mun Veli,['Mikael Gabriel'],LA,2017-07-21
How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,"['Cash Cash', 'Sofía Reyes', 'Boombox Cartel']",How to Love (feat. Sofia Reyes) [Remixes],2016-05-27
Glorious (feat. Skylar Grey),"['Macklemore', 'Skylar Grey']",Glorious (feat. Skylar Grey),2017-06-15
Fabulous,"['KOI', 'Nelli Matula']",Fabulous,2017-06-16
Party's Over,['Astrid S'],Party's Over,2017-06-30
Fresh Air,['Future'],HNDRXX,2017-06-26
YOUTH,['Troye Sivan'],Blue Neighbourhood (Deluxe),2015-12-09
FOOLS,['Troye Sivan'],Blue Neighbourhood (Deluxe),2015-12-09
WILD,"['Troye Sivan', 'Alessia Cara']",Blue Neighbourhood (Deluxe),2015-12-09
The Fault in Our Stars,['Troye Sivan'],The Fault in Our Stars,2013-05-05
Gorilla (feat. Mahku),"['Slim Mill', 'Mahku']",Gorilla (feat. Mahku),2017-01-23
Smack That,"['Akon', 'Eminem']",Konvicted,2006
Leposyke 300,['Mouhous'],Leposyke 300,2017-04-19
Eikö Sua Hävetä,['Tuure Boelius'],Eikö Sua Hävetä,2017-08-11
EYO (feat. Nelli Matula),"['Profeetat', 'Cheek', 'Elastinen', 'Nelli Matula']",EYO (feat. Nelli Matula),2017-07-28
Pane mut sekasin,['Aleksanteri Hakaniemi'],Pane mut sekasin,2017-08-11
Vaikee Mut Oikee,"['JANNA', 'Nikke Ankara']",Vaikee Mut Oikee,2017-08-11
Pipefest (feat. Paleface),"['Profeetat', 'Cheek', 'Elastinen', 'Paleface']",Pipefest (feat. Paleface),2017-08-04
Without You (feat. Sandro Cavazza),"['Avicii', 'Sandro Cavazza']",AVĪCI (01),2017-08-10
New Rules,['Dua Lipa'],Dua Lipa (Deluxe),2017-06-02
xDlsd Juna (feat. Jedidi & Mahku),"['Slim Mill', 'Jedidi', 'Mahku']",xDlsd Juna (feat. Jedidi & Mahku),2017-07-09
Takaperin (feat. Mahku),"['Slim Mill', 'Mahku']",Takaperin (feat. Mahku),2017-07-17
Katarina (feat. Mahku),"['Slim Mill', 'Mahku']",Katarina (feat. Mahku),2017-03-15
Jumis Hissis (feat. Mahku),"['Slim Mill', 'Mahku']",Jumis Hissis (feat. Mahku),2017-06-23
Ajax (feat. Mahku),"['Slim Mill', 'Mahku']",Ajax (feat. Mahku),2017-04-24
Vitamiini (feat. Fatboy L & Young Manager),"['Slim Mill', 'Fatboy L', 'Young Manager']",Vitamiini (feat. Fatboy L & Young Manager),2017-03-04
"Pullopantti (feat. Lännen Liinein, Kielijuhani, Alis, Mvd Jeyson, Asap Vergi & Vaahteramäen Nege)","['Slim Mill', 'Lännen Liinein', 'Kielijuhani', 'Alis', 'Mvd Jeyson', 'Asap Vergi', 'Vaahteramäen Nege']","Pullopantti (feat. Lännen Liinein, Kielijuhani, Alis, Mvd Jeyson, Asap Vergi & Vaahteramäen Nege)",2016-12-14
Tuplapotti,['Slim Mill'],Tuplapotti,2017-02-08
Kebab (feat. Fatboy L & Asap Vergi),"['Slim Mill', 'Fatboy L', 'Asap Vergi']",Kebab (feat. Fatboy L & Asap Vergi),2017-08-24
Nacci,['Slim Mill'],Nacci,2017-06-30
Ugly God (feat. Mahku),"['Slim Mill', 'Mahku']",Ugly God (feat. Mahku),2017-06-30
Slim Mill - Kananuudeli,"['Slim Mill', 'Lil Sage x JustSeAbu x MVD J€¥$ON']",Slim Mill - Kananuudeli,2016-08-03
Bank Account,['21 Savage'],Issa Album,2017-07-06
Marmalade (feat. Lil Yachty),"['Macklemore', 'Lil Yachty']",Marmalade (feat. Lil Yachty),2017-07-26
Her Name,"['Magnace', 'LuxLyfe', 'Andy Marsh']",Her Name,2017-08-18
Silence,"['Marshmello', 'Khalid']",Silence,2017-08-11
Lääkitys kunnossa,['Janne Ordén'],Lääkitys kunnossa,2017-07-07
Friends (with BloodPop®),"['Justin Bieber', 'BloodPop®']",Friends (with BloodPop®),2017-08-17
Murhaaja,"['DEM', 'PistePiste', 'Maiki']",Murhaaja,2016-12-27
Text Ur Number (feat. DJ Sliink & Fetty Wap),"['DJ Envy', 'DJ Sliink', 'Fetty Wap']",Text Ur Number (feat. DJ Sliink & Fetty Wap),2017-08-10
Its Every Night Sis,"['Ricegum', 'Alissa Violet']",Its Every Night Sis,2017-06-09
What About Us,['P!nk'],What About Us,2017-08-10
do re mi (feat. Gucci Mane),"['blackbear', 'Gucci Mane']",do re mi (feat. Gucci Mane),2017-07-28
1-800-273-8255,"['Logic', 'Alessia Cara', 'Khalid']",1-800-273-8255,2017-04-28
Perplexing Pegasus,['Rae Sremmurd'],Perplexing Pegasus,2017-08-04
